Wellenlaenge,equ,flu,flu2,inc,led_kw,led_nw,led_ww,led,tag
435,1.3701832769143264e-5,2.9094185843685587e-5,3.673215203546422e-5,3.170688153151127e-6,1.1023955388131472e-5,6.178686370635637e-6,9.44094008203332e-7,4.289349014458937e-6,1.869819965915932e-5
436,1.3701832769143264e-5,3.0843836195109977e-5,4.308184450734584e-5,3.2384293809134874e-6,1.2326208453300293e-5,6.904839396731738e-6,1.0570817405264846e-6,4.744279970537916e-6,1.874819484541376e-5
437,1.3701832769143264e-5,2.72945454822205e-5,3.059288109344934e-5,3.2508843905035496e-6,1.4003730051176936e-5,7.915990259749414e-6,1.2303548834729167e-6,5.299195752128757e-6,1.869819965915932e-5
438,1.3701832769143264e-5,1.984603398615667e-5,1.8614891042818622e-5,3.264453561362572e-6,1.5621575431450223e-5,8.890914189648568e-6,1.397357520733167e-6,5.9990895307118e-6,1.8798190031668192e-5
439,1.3701832769143264e-5,1.1347732279238191e-5,1.0650437396165433e-5,3.316524183225156e-6,1.756842732003007e-5,1.006103761081043e-5,1.5833780957051158e-6,6.848960547562638e-6,1.8998170776685934e-5
440,1.3701832769143264e-5,5.94881119484293e-6,4.920762107989331e-6,3.3890236921311724e-6,1.9671864501025408e-5,1.132384995444713e-5,1.7777095218378143e-6,7.79881638992534e-6,1.9398132266721436e-5
441,1.3701832769143264e-5,5.14897103419178e-6,7.496993330904173e-7,3.457931394428867e-6,2.187606758652769e-5,1.2648310621882326e-5,1.99749912001886e-6,8.848657057799905e-6,1.999807450177468e-5
442,1.3701832769143264e-5,6.148771235005718e-6,6.580039596365868e-7,3.511963207256392e-6,2.4469720777491568e-5,1.4211350821865964e-5,2.3001552426731147e-6,9.9484901384304e-6,2.0448031178064604e-5
443,1.3701832769143264e-5,6.498701305290596e-6,5.666629392615881e-7,3.5659438198657632e-6,2.7055082282910023e-5,1.5769379873881118e-5,2.601823157402243e-6,1.1148308044572762e-5,2.054802155057348e-5
444,1.3701832769143264e-5,6.298741265127808e-6,4.562845357519473e-7,3.61369247548722e-6,2.962449823920267e-5,1.7271603885816313e-5,2.9308288651762573e-6,1.2298133537959192e-5,2.034804080555573e-5
445,1.3701832769143264e-5,6.148771235005718e-6,3.4393358775019625e-7,3.660557370821411e-6,3.217850680865249e-5,1.875830556136132e-5,3.2619190388697888e-6,1.3597936269613414e-5,2.0298045619301296e-5
446,1.3701832769143264e-5,6.198761245046415e-6,2.762890326248357e-7,3.724828114231509e-6,3.4357376402981134e-5,1.998949980207409e-5,3.5904013791208144e-6,1.4847746588511705e-5,2.039803599181017e-5
447,1.3701832769143264e-5,6.348731275168505e-6,2.5316632983818654e-7,3.806187486974603e-6,3.615495801980696e-5,2.0962507884548708e-5,3.914283712777315e-6,1.5797602430874406e-5,2.054802155057348e-5
448,1.3701832769143264e-5,6.398721285209202e-6,2.3460792129145026e-7,3.880014862407961e-6,3.77460946052945e-5,2.1809402076483078e-5,4.223604048557626e-6,1.644750379670152e-5,2.0847992668100096e-5
449,1.3701832769143264e-5,6.398721285209202e-6,2.447078022601798e-7,3.9056984501015e-6,3.805867719800148e-5,2.186388303275022e-5,4.461317577499091e-6,1.6747458273237108e-5,2.114796378562672e-5
450,1.3701832769143264e-5,6.448711295249897e-6,2.54793836394568e-7,3.931449933736504e-6,3.837178798702324e-5,2.1918934363582883e-5,4.6986630608921305e-6,1.6747458273237108e-5,2.144793490315334e-5
451,1.3701832769143264e-5,6.448711295249897e-6,1.9969262497797257e-7,4.006835576678895e-6,3.75977212706788e-5,2.1349812585056183e-5,4.782278057199293e-6,1.6397511383945585e-5,2.164791564817109e-5
452,1.3701832769143264e-5,6.398721285209202e-6,1.225332302228443e-7,4.098046539223745e-6,3.6445755006020784e-5,2.0561901234352525e-5,4.815634013997772e-6,1.559763277985068e-5,2.149793008940777e-5
453,1.3701832769143264e-5,6.298741265127808e-6,1.084352898345216e-7,4.171912871344829e-6,3.49208821431192e-5,1.960876459433018e-5,4.814286764696659e-6,1.4547792111976114e-5,2.1197958971881156e-5
454,1.3701832769143264e-5,6.198761245046415e-6,1.9454349080759734e-7,4.217950771851012e-6,3.2828337765370426e-5,1.840812613391306e-5,4.758598209207551e-6,1.3347974205833752e-5,2.0997978226863407e-5
455,1.3701832769143264e-5,6.148771235005718e-6,2.794123749310416e-7,4.264914728476848e-6,3.070746014001873e-5,1.7192006078146145e-05,4.697770522299163e-6,1.2198148712447327e-5,2.1047973413117845e-5
456,1.3701832769143264e-5,6.098781224965021e-6,2.8957670661961545e-7,4.340603120535281e-6,2.8669738553358152e-5,1.6047019878907504e-5,4.513708354832591e-6,1.1048323219060898e-5,2.1097968599372283e-5
457,1.3701832769143264e-5,5.998801204883626e-6,2.997088129482673e-7,4.416117877071277e-6,2.66411557595403e-5,1.4907167050758534e-5,4.330529721786548e-6,1.0098467376698198e-5,2.114796378562672e-5
458,1.3701832769143264e-5,5.94881119484293e-6,2.415400242037688e-7,4.499942651623308e-6,2.498113440182924e-5,1.4029299482864478e-5,4.184350358811919e-6,9.248596359847356e-6,2.1097968599372283e-5
459,1.3701832769143264e-5,5.898821184802233e-6,1.502346279571215e-7,4.5877109560214135e-6,2.3503460364340052e-5,1.3280519901459449e-5,4.05645734453836e-6,8.548702581264314e-6,2.0997978226863407e-5
460,1.3701832769143264e-5,5.94881119484293e-6,1.1501679090131209e-7,4.6542456395124925e-6,2.214964337968564e-5,1.2591069460128472e-5,3.938124510351393e-6,7.998786040949066e-6,2.094798304060897e-5
461,1.3701832769143264e-5,5.79884116472084e-6,2.0018003354679526e-7,4.677202259065223e-6,2.106471818313346e-5,1.2031012563089484e-5,3.84133078215891e-6,7.598846738901614e-6,2.0997978226863407e-5
462,1.3701832769143264e-5,5.548891114517354e-6,2.850632680258298e-7,4.70018559177525e-6,1.998388899951298e-5,1.147309457067119e-5,3.74494674381238e-6,7.2488998496100915e-6,2.089798785435453e-5
463,1.3701832769143264e-5,5.348931074354567e-6,2.88477897374457e-7,4.762912537303185e-6,1.900667598730568e-5,1.0960847284534796e-5,3.714073687563821e-6,6.948945373074502e-6,2.0847992668100096e-5
464,1.3701832769143264e-5,5.248951054273173e-6,2.889440321705186e-7,4.827059732360781e-6,1.802910420024304e-5,1.0448049994353078e-5,3.6852929758856616e-6,6.698983309294844e-6,2.064801192308235e-5
465,1.3701832769143264e-5,5.248951054273173e-6,2.723560281505855e-7,4.903173308839535e-6,1.7007223718547046e-5,9.913732268109135e-6,3.628375350858698e-6,6.449021245515184e-6,2.049802636431904e-5
466,1.3701832769143264e-5,5.14897103419178e-6,2.452689766919494e-7,4.98675098668656e-6,1.596236171417348e-5,9.36848270220142e-6,3.5544308357505016e-6,6.199059181735527e-6,2.0298045619301296e-5
467,1.3701832769143264e-5,4.994002003065619e-6,2.430035087133589e-7,5.065522522316439e-6,1.4944477585727148e-5,8.824516479066118e-6,3.475761381155195e-6,5.849112292444005e-6,2.0098064874283547e-5
468,1.3701832769143264e-5,4.819036967923179e-6,3.0641080664989165e-7,5.131851291886683e-6,1.399610608550116e-5,8.282959069944126e-6,3.384492838275296e-6,5.549157815908416e-6,1.999807450177468e-5
469,1.3701832769143264e-5,4.679064939809229e-6,3.6949950151625653e-7,5.198037591284671e-6,1.305324576569178e-5,7.744558072926673e-6,3.2938354535996607e-6,5.249203339372825e-6,1.999807450177468e-5
470,1.3701832769143264e-5,4.564087916715626e-6,3.4191660750788054e-7,5.266773884156371e-6,1.220900866722556e-5,7.290094822907386e-6,3.186220961179192e-6,4.9442496215616425e-6,1.98980841292658e-5
471,1.3701832769143264e-5,4.459108895630162e-6,3.083531398670752e-7,5.337503646391414e-6,1.1387294656899552e-5,6.850305477112078e-6,3.08017432028458e-6,4.619298938648086e-6,1.9748098570502493e-5
472,1.3701832769143264e-5,4.354129874544698e-6,3.500941702290659e-7,5.417136681344143e-6,1.0702662539214528e-5,6.5130267001046425e-6,3.0153454042488254e-6,4.354339151041648e-6,1.964810819799362e-5
473,1.3701832769143264e-5,4.204159844422608e-6,4.419304037522435e-7,5.5026633066256816e-6,1.0112776881241444e-5,6.24583779046538e-6,2.9784316738155777e-6,4.194363430222667e-6,1.969810338424805e-5
474,1.3701832769143264e-5,4.0391928112883085e-6,5.034477346814663e-7,5.578782448345541e-6,9.599246485257327e-6,6.014742387037351e-6,2.9544164204005037e-6,4.114375569813177e-6,1.9748098570502493e-5
475,1.3701832769143264e-5,3.904219784178427e-6,4.824884109402167e-7,5.629348229013687e-6,9.286723688359576e-6,5.878636756340422e-6,2.965063854309047e-6,4.079380880884024e-6,1.9798093756756928e-5
476,1.3701832769143264e-5,3.814237766105173e-6,4.620869887426196e-7,5.680025314503907e-6,8.982968950287384e-6,5.746741712168234e-6,2.976115350455769e-6,4.059383915781651e-6,1.969810338424805e-5
477,1.3701832769143264e-5,3.779244759076685e-6,6.325047624359904e-7,5.757559140512323e-6,8.78965507865422e-6,5.671450232467729e-6,3.018024145549284e-6,4.079380880884024e-6,1.969810338424805e-5
478,1.3701832769143264e-5,3.799240763092964e-6,8.096012419732295e-7,5.836064657617445e-6,8.614857975943405e-6,5.6051523374342445e-6,3.061546938552402e-6,4.124374052364362e-6,1.969810338424805e-5
479,1.3701832769143264e-5,3.939212791206915e-6,1.2166627992471955e-6,5.907951990002056e-6,8.518964433291223e-6,5.58102141920876e-6,3.1233909714247883e-6,4.179365706395888e-6,1.9748098570502493e-5
480,1.3701832769143264e-5,4.299140863499932e-6,1.7548030220895528e-6,5.975589704279888e-6,8.474872000167886e-6,5.584217553827685e-6,3.195713609972496e-6,4.22935811915182e-6,1.9748098570502493e-5
481,1.3701832769143264e-5,5.098981024151083e-6,2.6442619788380177e-6,6.052367770546421e-6,8.444165855535671e-6,5.606091418415332e-6,3.276574455035027e-6,4.289349014458937e-6,1.9598113011739186e-5
482,1.3701832769143264e-5,6.548691315331293e-6,4.45140855234489e-6,6.148436075526575e-6,8.4294411375148e-6,5.6658401912054485e-6,3.380021141138018e-6,4.40433156379758e-6,1.9498122639230303e-5
483,1.3701832769143264e-5,8.748251757121957e-6,6.224995434620321e-6,6.243914464949736e-6,8.416699647166454e-6,5.7255930380996045e-6,3.4821791050607464e-6,4.554308802065374e-6,1.9248146707958125e-5
484,1.3701832769143264e-5,1.1497702309360284e-5,8.257699386732378e-6,6.331823013423655e-6,8.490665069980186e-6,5.841188610536082e-6,3.5770650742178198e-6,4.68928831650639e-6,1.874819484541376e-5
485,1.3701832769143264e-5,1.4447112901761402e-5,1.026627585940584e-5,6.419030341518509e-6,8.567923248688393e-6,5.957803727508424e-6,3.670671325367069e-6,4.819268589671812e-6,1.814825261036052e-5
486,1.3701832769143264e-5,1.7096583433918335e-5,1.131304114828997e-5,6.480268028527095e-6,8.683513530898238e-6,6.094697697336981e-6,3.7971833246928703e-6,4.959247345388421e-6,1.7748291120325024e-5
487,1.3701832769143264e-5,1.874625376526133e-5,1.1836733458300036e-5,6.528297172300178e-6,8.818143795361127e-6,6.239917098770092e-6,3.938135765566942e-6,5.09922610110503e-6,1.7648300747816155e-5
488,1.3701832769143264e-5,1.939612389579039e-5,1.1859493877548186e-5,6.58383048717748e-6,8.972304367712674e-6,6.39767557391053e-6,4.078600855607778e-6,5.299195752128757e-6,1.7748291120325024e-5
489,1.3701832769143264e-5,1.899620381546482e-5,1.0961214487324153e-5,6.652871755261663e-6,9.1644173401773e-6,6.58147979617498e-6,4.22139577526708e-6,5.499165403152484e-6,1.7998267051597205e-5
490,1.3701832769143264e-5,1.7946413604610184e-5,1.0108377889802853e-5,6.7216915267499176e-6,9.35419827608228e-6,6.760903338071043e-6,4.360175959540359e-6,5.749127466932142e-6,1.8198247796614958e-5
491,1.3701832769143264e-5,1.659668333351137e-5,9.154553811822355e-6,6.802572288758095e-6,9.65048551417949e-6,7.001420107090232e-6,4.538528356159358e-6,5.9990895307118e-6,1.8298238169123827e-5
492,1.3701832769143264e-5,1.5146973042331158e-5,8.235878034613212e-6,6.882727343326351e-6,9.939571343652752e-6,7.235844053518466e-6,4.712169319549903e-6,6.199059181735527e-6,1.824824298286939e-5
493,1.3701832769143264e-5,1.3747252761191643e-5,7.364360798762035e-6,6.97355986947615e-6,1.0242802868394256e-5,7.487682757663205e-6,4.8701587801992e-6,6.449021245515184e-6,1.8198247796614958e-5
494,1.3701832769143264e-5,1.2497502510174225e-5,6.522200110518076e-6,7.0680387415970885e-6,1.054864846659557e-5,7.743632232783716e-6,5.021047325359173e-6,6.698983309294844e-6,1.824824298286939e-5
495,1.3701832769143264e-5,1.1347732279238191e-5,5.735376407515454e-6,7.158416031024607e-6,1.0856268007137132e-5,8.006844816880504e-6,5.17314805723368e-6,6.948945373074502e-6,1.824824298286939e-5
496,1.3701832769143264e-5,1.0347932078424255e-5,5.014248380644774e-6,7.243519697982264e-6,1.1167834071087336e-5,8.281114519340279e-6,5.3276652838863744e-6,7.198907436854161e-6,1.824824298286939e-5
497,1.3701832769143264e-5,9.298141867569622e-6,4.320530791754763e-6,7.329963474997691e-6,1.1477456771237826e-5,8.551353914379057e-6,5.4864279778438285e-6,7.448869500633818e-6,1.809825742410608e-5
498,1.3701832769143264e-5,8.148371636633592e-6,3.710319684369299e-6,7.429221776178481e-6,1.180406148120731e-5,8.822369426237346e-6,5.689619509656026e-6,7.698831564413475e-6,1.7898276679088332e-5
499,1.3701832769143264e-5,6.848631375575473e-6,3.1146162829644188e-6,7.527824491957255e-6,1.212583269659803e-5,9.089163147784784e-6,5.8894491085839925e-6,7.948793628193136e-6,1.7648300747816155e-5
500,1.3701832769143264e-5,5.498901104476658e-6,2.6173475092874023e-6,7.610481678925731e-6,1.2443896571817e-5,9.34565447874254e-6,6.057782112322034e-6,8.148763279216862e-6,1.7348329630289532e-5
501,1.3701832769143264e-5,4.194161842414468e-6,2.14928548564609e-6,7.691385814946544e-6,1.276017653872752e-5,9.599016897798017e-6,6.219193158497966e-6,8.348732930240588e-6,1.7098353699017345e-5
502,1.3701832769143264e-5,3.159368634572043e-6,1.7359839154162586e-6,7.76052503127415e-6,1.306202578367918e-5,9.85117643763586e-6,6.379035227626487e-6,8.548702581264314e-6,1.6948368140254034e-5
503,1.3701832769143264e-5,2.4695064960104262e-6,1.3664320476901286e-6,7.819892797271895e-6,1.335247396100588e-5,1.0102803288370548e-5,6.53786995496345e-6,8.748672232288042e-6,1.6898372953999603e-5
504,1.3701832769143264e-5,2.014597404640085e-6,1.047892295319221e-6,7.886347341291082e-6,1.3651114164195968e-5,1.034997612486414e-5,6.697329346763333e-6,8.9986342960677e-6,1.6898372953999603e-5
505,1.3701832769143264e-5,1.6896623393755549e-6,8.655695169802306e-7,7.97348566039625e-6,1.3980310025898398e-5,1.0590093631687465e-5,6.862388208298419e-6,9.198603947091428e-6,1.6948368140254034e-5
506,1.3701832769143264e-5,1.4597082931883489e-6,6.826887112172756e-7,8.060802067216738e-6,1.4310343028929933e-5,1.08308324393768e-5,7.027873642502779e-6,9.398573598115154e-6,1.6998363326508472e-5
507,1.3701832769143264e-5,1.2997402610581188e-6,6.263722512667405e-7,8.159916785177052e-6,1.455386146198572e-5,1.1042665478906453e-5,7.178377259291005e-6,9.59854324913888e-6,1.6998363326508472e-5
508,1.3701832769143264e-5,1.1847632379645164e-6,5.733796609597395e-7,8.259441104882596e-6,1.4795386701400786e-5,1.125422351641344e-5,7.328901135467216e-6,9.748520487406674e-6,1.6948368140254034e-5
509,1.3701832769143264e-5,1.0697862148709132e-6,5.199764490743552e-7,8.359570922820224e-6,1.503905462397963e-5,1.1467176934553931e-5,7.480430102391879e-6,9.89849772567447e-6,1.6948368140254034e-5
510,1.3701832769143264e-5,9.798041967976589e-7,4.661855258274074e-7,8.460098098972656e-6,1.5284147680011593e-5,1.1681209990264867e-5,7.632743557840247e-6,1.0048474963942264e-5,1.6898372953999603e-5
511,1.3701832769143264e-5,9.84803197801729e-7,3.959490950739323e-7,8.555623236421086e-6,1.551880636733435e-5,1.188216517200927e-5,7.771577767148158e-6,1.019845220221006e-5,1.6848377767745164e-5
