Wellenlaenge,Melanopsin,L-cone-opsin,M-cone-opsin,S-cone-opsin,Rhodopsin,V(lambda)
673,1.57493E-05,3.67892E-02,2.45374E-03,0.00000E+00,1.187E-04,0.02632936
674,1.46553E-05,3.44098E-02,2.27875E-03,0.00000E+00,1.104E-04,0.02470805
675,1.36480E-05,3.21660E-02,2.11596E-03,0.00000E+00,1.026E-04,0.0232
676,1.27143E-05,3.00509E-02,1.96456E-03,0.00000E+00,9.54E-05,0.02180077
677,1.18407E-05,2.80594E-02,1.82378E-03,0.00000E+00,8.88E-05,0.02050112
678,1.10269E-05,2.61861E-02,1.69287E-03,0.00000E+00,8.26E-05,0.01928108
679,1.02723E-05,2.44260E-02,1.57115E-03,0.00000E+00,7.69E-05,0.01812069
680,9.57637E-06,2.27738E-02,1.45798E-03,0.00000E+00,7.15E-05,0.017
681,8.93033E-06,2.12238E-02,1.35274E-03,0.00000E+00,6.66E-05,0.01590379
682,8.32543E-06,1.97679E-02,1.25476E-03,0.00000E+00,6.20E-05,0.01483718
683,7.76135E-06,1.83986E-02,1.16340E-03,0.00000E+00,5.78E-05,0.01381068
684,7.23773E-06,1.71092E-02,1.07812E-03,0.00000E+00,5.38E-05,0.01283478
685,6.75425E-06,1.58939E-02,9.98424E-04,0.00000E+00,5.01E-05,0.01192
686,6.30499E-06,1.47492E-02,9.23962E-04,0.00000E+00,4.67E-05,0.01106831
687,5.88407E-06,1.36773E-02,8.54713E-04,0.00000E+00,4.36E-05,0.01027339
688,5.49115E-06,1.26804E-02,7.90652E-04,0.00000E+00,4.06E-05,0.009533311
689,5.12592E-06,1.17590E-02,7.31684E-04,0.00000E+00,3.789E-05,0.008846157
690,4.78804E-06,1.09123E-02,6.77653E-04,0.00000E+00,3.533E-05,0.00821
691,4.47347E-06,1.01373E-02,6.28297E-04,0.00000E+00,3.295E-05,0.007623781
692,4.17829E-06,9.42568E-03,5.83108E-04,0.00000E+00,3.075E-05,0.007085424
693,3.90243E-06,8.76917E-03,5.41584E-04,0.00000E+00,2.870E-05,0.006591476
694,3.64583E-06,8.16076E-03,5.03294E-04,0.00000E+00,2.679E-05,0.006138485
695,3.40841E-06,7.59453E-03,4.67870E-04,0.00000E+00,2.501E-05,0.005723
696,3.18739E-06,7.06588E-03,4.35007E-04,0.00000E+00,2.336E-05,0.005343059
697,2.97998E-06,6.57252E-03,4.04490E-04,0.00000E+00,2.182E-05,0.004995796
698,2.78604E-06,6.11262E-03,3.76138E-04,0.00000E+00,2.038E-05,0.004676404
699,2.60548E-06,5.68440E-03,3.49784E-04,0.00000E+00,1.905E-05,0.004380075
700,2.43819E-06,5.28607E-03,3.25278E-04,0.00000E+00,1.780E-05,0.004102
701,2.28225E-06,4.91573E-03,3.02477E-04,0.00000E+00,1.664E-05,0.003838453
702,2.13580E-06,4.57086E-03,2.81237E-04,0.00000E+00,1.556E-05,0.003589099
703,1.99874E-06,4.24908E-03,2.61427E-04,0.00000E+00,1.454E-05,0.003354219
704,1.87101E-06,3.94832E-03,2.42930E-04,0.00000E+00,1.360E-05,0.003134093
705,1.75252E-06,3.66675E-03,2.25641E-04,0.00000E+00,1.273E-05,0.002929
706,1.64197E-06,3.40297E-03,2.09478E-04,0.00000E+00,1.191E-05,0.002738139
707,1.53806E-06,3.15632E-03,1.94400E-04,0.00000E+00,1.114E-05,0.002559876
708,1.44073E-06,2.92624E-03,1.80370E-04,0.00000E+00,1.043E-05,0.002393244
709,1.34993E-06,2.71213E-03,1.67347E-04,0.00000E+00,9.76E-06,0.002237275
710,1.26560E-06,2.51327E-03,1.55286E-04,0.00000E+00,9.14E-06,0.002091
711,1.18683E-06,2.32895E-03,1.44135E-04,0.00000E+00,8.56E-06,0.001953587
712,1.11273E-06,2.15836E-03,1.33830E-04,0.00000E+00,8.02E-06,0.00182458
713,1.04326E-06,2.00071E-03,1.24309E-04,0.00000E+00,7.51E-06,0.00170358
714,9.78385E-07,1.85521E-03,1.15513E-04,0.00000E+00,7.04E-06,0.001590187
715,9.18078E-07,1.72108E-03,1.07388E-04,0.00000E+00,6.60E-06,0.001484
716,8.61705E-07,1.59750E-03,9.98800E-05,0.00000E+00,6.18E-06,0.001384496
717,8.08640E-07,1.48342E-03,9.29320E-05,0.00000E+00,5.80E-06,0.001291268
718,7.58853E-07,1.37787E-03,8.64907E-05,0.00000E+00,5.44E-06,0.001204092
719,7.12313E-07,1.27998E-03,8.05090E-05,0.00000E+00,5.10E-06,0.001122744
720,6.68991E-07,1.18900E-03,7.49453E-05,0.00000E+00,4.78E-06,0.001047
721,6.28444E-07,1.10433E-03,6.97652E-05,0.00000E+00,4.49E-06,9.77E-04
722,5.90239E-07,1.02563E-03,6.49470E-05,0.00000E+00,4.21E-06,9.11E-04
723,5.54363E-07,9.52602E-04,6.04718E-05,0.00000E+00,3.951E-06,8.50E-04
724,5.20798E-07,8.84959E-04,5.63207E-05,0.00000E+00,3.709E-06,7.93E-04
725,4.89531E-07,8.22396E-04,5.24748E-05,0.00000E+00,3.482E-06,7.40E-04
726,4.60251E-07,7.64585E-04,4.89142E-05,0.00000E+00,3.270E-06,6.90E-04
727,4.32648E-07,7.11110E-04,4.56137E-05,0.00000E+00,3.070E-06,6.43E-04
728,4.06710E-07,6.61570E-04,4.25490E-05,0.00000E+00,2.884E-06,5.99E-04
729,3.82420E-07,6.15612E-04,3.96989E-05,0.00000E+00,2.710E-06,5.58E-04
730,3.59766E-07,5.72917E-04,3.70443E-05,0.00000E+00,2.546E-06,5.20E-04
731,3.38528E-07,5.33206E-04,3.45688E-05,0.00000E+00,2.393E-06,4.84E-04
732,3.18490E-07,4.96234E-04,3.22588E-05,0.00000E+00,2.250E-06,4.50E-04
733,2.99644E-07,4.61782E-04,3.01026E-05,0.00000E+00,2.115E-06,4.18E-04
734,2.81981E-07,4.29654E-04,2.80893E-05,0.00000E+00,1.989E-06,3.89E-04
735,2.65493E-07,3.99670E-04,2.62088E-05,0.00000E+00,1.870E-06,3.61E-04
736,2.50026E-07,3.71690E-04,2.44529E-05,0.00000E+00,1.759E-06,3.35E-04
737,2.35424E-07,3.45650E-04,2.28177E-05,0.00000E+00,1.655E-06,3.11E-04
738,2.21681E-07,3.21494E-04,2.12995E-05,0.00000E+00,1.557E-06,2.89E-04
739,2.08789E-07,2.99155E-04,1.98941E-05,0.00000E+00,1.466E-06,2.68E-04
740,1.96740E-07,2.78553E-04,1.85965E-05,0.00000E+00,1.379E-06,2.49E-04
741,1.85426E-07,2.59583E-04,1.74003E-05,0.00000E+00,1.299E-06,2.31E-04
742,1.74736E-07,2.42061E-04,1.62931E-05,0.00000E+00,1.223E-06,2.15E-04
743,1.64666E-07,2.25809E-04,1.52632E-05,0.00000E+00,1.151E-06,1.99E-04
744,1.55212E-07,2.10674E-04,1.43005E-05,0.00000E+00,1.084E-06,1.85E-04
745,1.46370E-07,1.96528E-04,1.33965E-05,0.00000E+00,1.022E-06,1.72E-04
746,1.38062E-07,1.83271E-04,1.25449E-05,0.00000E+00,9.62E-07,1.60E-04
747,1.30208E-07,1.70868E-04,1.17441E-05,0.00000E+00,9.07E-07,1.49E-04
748,1.22805E-07,1.59290E-04,1.09929E-05,0.00000E+00,8.55E-07,1.38E-04
749,1.15848E-07,1.48506E-04,1.02900E-05,0.00000E+00,8.06E-07,1.29E-04
750,1.09332E-07,1.38482E-04,9.63397E-06,0.00000E+00,7.60E-07,1.20E-04
751,1.03202E-07,1.29179E-04,9.02263E-06,0.00000E+00,7.16E-07,1.12E-04
752,9.74005E-08,1.20542E-04,8.45301E-06,0.00000E+00,6.75E-07,1.04E-04
753,9.19274E-08,1.12519E-04,7.92207E-06,0.00000E+00,6.37E-07,9.73E-05
754,8.67807E-08,1.05061E-04,7.42700E-06,0.00000E+00,6.01E-07,9.08E-05
755,8.19587E-08,9.81226E-05,6.96522E-06,0.00000E+00,5.67E-07,8.48E-05
756,7.74202E-08,9.16641E-05,6.53422E-06,0.00000E+00,5.35E-07,7.91E-05
757,7.31243E-08,8.56455E-05,6.13129E-06,0.00000E+00,5.05E-07,7.39E-05
758,6.90693E-08,8.00302E-05,5.75391E-06,0.00000E+00,4.77E-07,6.89E-05
759,6.52534E-08,7.47858E-05,5.39984E-06,0.00000E+00,4.50E-07,6.43E-05
760,6.16749E-08,6.98827E-05,5.06711E-06,0.00000E+00,4.25E-07,6.00E-05
761,5.83044E-08,6.52966E-05,4.75413E-06,0.00000E+00,4.01E-07,5.60E-05
762,5.51124E-08,6.10128E-05,4.46019E-06,0.00000E+00,3.790E-07,5.22E-05
763,5.20972E-08,5.70183E-05,4.18466E-06,0.00000E+00,3.580E-07,4.87E-05
764,4.92575E-08,5.32996E-05,3.92690E-06,0.00000E+00,3.382E-07,4.54E-05
765,4.65916E-08,4.98430E-05,3.68617E-06,0.00000E+00,3.196E-07,4.24E-05
766,4.40782E-08,4.66322E-05,3.46157E-06,0.00000E+00,3.021E-07,3.96E-05
767,4.16962E-08,4.36424E-05,3.25155E-06,0.00000E+00,2.855E-07,3.69E-05
768,3.94444E-08,4.08501E-05,3.05464E-06,0.00000E+00,2.699E-07,3.44E-05
769,3.73218E-08,3.82346E-05,2.86951E-06,0.00000E+00,2.552E-07,3.21E-05
770,3.53272E-08,3.57781E-05,2.69504E-06,0.00000E+00,2.413E-07,3.00E-05
771,3.34451E-08,3.34676E-05,2.53040E-06,0.00000E+00,2.282E-07,2.80E-05
772,3.16600E-08,3.13007E-05,2.37550E-06,0.00000E+00,2.159E-07,2.61E-05
773,2.99712E-08,2.92761E-05,2.23033E-06,0.00000E+00,2.042E-07,2.44E-05
774,2.83782E-08,2.73908E-05,2.09478E-06,0.00000E+00,1.932E-07,2.27E-05
775,2.68803E-08,2.56411E-05,1.96864E-06,0.00000E+00,1.829E-07,2.12E-05
776,2.54800E-08,2.40205E-05,1.85152E-06,0.00000E+00,1.731E-07,1.98E-05
777,2.41660E-08,2.25160E-05,1.74248E-06,0.00000E+00,1.638E-07,1.85E-05
778,2.29167E-08,2.11145E-05,1.64060E-06,0.00000E+00,1.551E-07,1.72E-05
779,2.17105E-08,1.98046E-05,1.54507E-06,0.00000E+00,1.468E-07,1.61E-05
780,2.05258E-08,1.85766E-05,1.45518E-06,0.00000E+00,1.390E-07,1.50E-05
