Wellenlaenge,Melanopsin,L-cone-opsin,M-cone-opsin,S-cone-opsin,Rhodopsin,V(lambda)
446,4.89517E-01,7.06963E-02,1.20706E-01,9.96373E-01,4.06E-01,0.03131083
447,5.05522E-01,7.28508E-02,1.25363E-01,9.99038E-01,4.18E-01,0.03288368
448,5.21741E-01,7.50778E-02,1.30111E-01,9.99978E-01,4.31E-01,0.03452112
449,5.37898E-01,7.73325E-02,1.34856E-01,9.97844E-01,4.43E-01,0.03622571
450,5.53715E-01,7.95647E-02,1.39493E-01,9.91329E-01,4.55E-01,0.038
451,5.69100E-01,8.17368E-02,1.43943E-01,9.79657E-01,4.67E-01,0.03984667
452,5.84240E-01,8.38826E-02,1.48281E-01,9.63905E-01,4.79E-01,0.041768
453,5.99281E-01,8.60598E-02,1.52637E-01,9.45573E-01,4.90E-01,0.043766
454,6.14370E-01,8.83322E-02,1.57157E-01,9.26078E-01,5.02E-01,0.04584267
455,6.29654E-01,9.07704E-02,1.62006E-01,9.06735E-01,5.13E-01,0.048
456,6.45193E-01,9.34397E-02,1.67331E-01,8.88509E-01,5.24E-01,0.05024368
457,6.60892E-01,9.63577E-02,1.73144E-01,8.71353E-01,5.35E-01,0.05257304
458,6.76660E-01,9.95304E-02,1.79417E-01,8.54998E-01,5.46E-01,0.05498056
459,6.92409E-01,1.02964E-01,1.86117E-01,8.39198E-01,5.57E-01,0.05745872
460,7.08049E-01,1.06663E-01,1.93202E-01,8.23726E-01,5.67E-01,0.06
461,7.23594E-01,1.10629E-01,2.00621E-01,8.08307E-01,5.78E-01,0.06260197
462,7.39105E-01,1.14828E-01,2.08315E-01,7.92431E-01,5.88E-01,0.06527752
463,7.54560E-01,1.19217E-01,2.16212E-01,7.75569E-01,5.99E-01,0.06804208
464,7.69938E-01,1.23740E-01,2.24231E-01,7.57244E-01,6.10E-01,0.07091109
465,7.85216E-01,1.28336E-01,2.32275E-01,7.37043E-01,6.20E-01,0.0739
466,8.00683E-01,1.32947E-01,2.40257E-01,7.14730E-01,6.31E-01,0.077016
467,8.16354E-01,1.37570E-01,2.48160E-01,6.90558E-01,6.42E-01,0.0802664
468,8.31798E-01,1.42218E-01,2.55987E-01,6.64890E-01,6.53E-01,0.0836668
469,8.46587E-01,1.46905E-01,2.63744E-01,6.38078E-01,6.64E-01,0.0872328
470,8.60291E-01,1.51651E-01,2.71441E-01,6.10456E-01,6.76E-01,0.09098
471,8.72925E-01,1.56475E-01,2.79097E-01,5.82346E-01,6.87E-01,0.09491755
472,8.84870E-01,1.61404E-01,2.86755E-01,5.54065E-01,6.99E-01,0.09904584
473,8.96242E-01,1.66464E-01,2.94476E-01,5.25903E-01,7.10E-01,0.1033674
474,9.07158E-01,1.71690E-01,3.02323E-01,4.98108E-01,7.22E-01,0.1078846
475,9.17734E-01,1.77116E-01,3.10372E-01,4.70894E-01,7.34E-01,0.1126
476,9.28345E-01,1.82777E-01,3.18692E-01,4.44450E-01,7.45E-01,0.117532
477,9.38950E-01,1.88685E-01,3.27307E-01,4.18992E-01,7.57E-01,0.1226744
