Condition,Bestrahlungsstaerke (W/m^2)
Illuminance (lx),100.00029326576421
CIE 1931 xy chromaticity [x],0.48851517888920937
CIE 1931 xy chromaticity [y],0.4199565892995196
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.4947305678591417
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.4173154289390619
S-cone-opic irradiance (mW ⋅ m⁻²),15.04019279101765
M-cone-opic irradiance (mW ⋅ m⁻²),109.24853723282331
L-cone-opic irradiance (mW ⋅ m⁻²),167.52574311863094
Rhodopic irradiance (mW ⋅ m⁻²),66.30300174647823
Melanopic irradiance (mW ⋅ m⁻²),48.77700238287241
S-cone-opic EDI (lx),18.402524594774263
M-cone-opic EDI (lx),75.04228651449843
L-cone-opic EDI (lx),102.84544443009538
Rhodopic EDI (lx),45.7355578351154
Melanopic EDI (lx),36.77915646086571
S-cone-opic ELR,0.15040148683410676
M-cone-opic ELR,1.092482168452053
L-cone-opic ELR,1.6752525182442093
Rhodopic ELR,0.663028073030437
Melanopic ELR,0.48776859337043116
"CCT (K) - Ohno, 2013",2411.1453277988535
"CCT (K) - Robertson, 1968",2410.976713783381
Colour Fidelity Index [Rf],89.33382118470902
Colour Rendering Index [Ra],87.625
CIE 1960 UCS [u],0.27668317247164337
CIE 1976 UCS [u prime],0.27668317247164337
CIE 1960 UCS [v],0.35677987025490354
CIE 1976 UCS [v prime],0.5351698053823554
Duv,0.001704101849069
"TM30 - CCT (K) - Ohno, 2013",2411.0862362454554
TM30 - Duv,0.0017006072579519751
TM30 - Colour Fidelity Index [Rf],89.33371067763814
TM30 - Gamut Index (Rg),94.80066173712636
"TM30 - Rcs, h1",-0.08641791050132147
"TM30 - Rf, h1",83.5056170342876
