Condition,Bestrahlungsstaerke (W/m^2)
Illuminance (lx),100.00029304357476
CIE 1931 xy chromaticity [x],0.39326732803265346
CIE 1931 xy chromaticity [y],0.3955274363900179
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.40023366616355116
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.3906225646379289
S-cone-opic irradiance (mW ⋅ m⁻²),39.4603575716963
M-cone-opic irradiance (mW ⋅ m⁻²),126.3032545773807
L-cone-opic irradiance (mW ⋅ m⁻²),162.05741177710624
Rhodopic irradiance (mW ⋅ m⁻²),93.65551413399751
Melanopic irradiance (mW ⋅ m⁻²),74.83553176584905
S-cone-opic EDI (lx),48.28197422877541
M-cone-opic EDI (lx),86.75708854124395
L-cone-opic EDI (lx),99.4883904237038
Rhodopic EDI (lx),64.60321660294103
Melanopic EDI (lx),56.42798034293972
S-cone-opic ELR,0.39460241935992724
M-cone-opic ELR,1.2630288445489306
L-cone-opic ELR,1.6205693687966527
Rhodopic ELR,0.936552396833352
Melanopic ELR,0.7483531246577423
"CCT (K) - Ohno, 2013",3812.2574437440517
"CCT (K) - Robertson, 1968",3811.8845510057104
Colour Fidelity Index [Rf],84.65847466282035
Colour Rendering Index [Ra],82.125
CIE 1960 UCS [u],0.2260223766534832
CIE 1976 UCS [u prime],0.2260223766534832
CIE 1960 UCS [v],0.34098199176022737
CIE 1976 UCS [v prime],0.511472987640341
Duv,0.005002251448707584
"TM30 - CCT (K) - Ohno, 2013",3812.510691809928
TM30 - Duv,0.0050024474852435885
TM30 - Colour Fidelity Index [Rf],84.65872750682473
TM30 - Gamut Index (Rg),95.5812381807443
"TM30 - Rcs, h1",-0.11244108311640923
"TM30 - Rf, h1",80.94436332181546
