Wellenlaenge (nm),Bestrahlungsstaerke (W/m^2)
380,1.0466600862418365e-6
381,2.96313808692876e-6
382,4.670886314440867e-6
383,5.759275787640379e-6
384,6.142637433382601e-6
385,6.51676192372446e-6
386,1.301047766809254e-6
387,-3.7464538171742755e-6
388,-7.918927672539793e-6
389,-1.1277073176738441e-5
390,-1.3860404014995085e-5
391,-7.204969957066606e-6
392,-5.905883974327392e-7
393,2.7834136795344424e-7
394,-2.5867670555634908e-6
395,-4.7680323308800055e-6
396,-3.3000911024013184e-6
397,-1.8695295702795727e-6
398,-1.4336477122250477e-6
399,-1.406629567301728e-6
400,-1.6372601890987457e-6
401,-2.6041563635853732e-6
402,-3.5836550029212586e-6
403,-2.7924414879256088e-6
404,-1.6297214457245986e-6
405,-2.001257236490385e-6
406,-4.7686648739938125e-6
407,-7.470309412570989e-6
408,-4.601781542018372e-6
409,-1.4826326613336797e-6
410,1.0395674996120176e-6
411,3.051805549495483e-6
412,4.782604458450188e-6
413,3.6493224325153484e-6
414,2.537118048737518e-6
415,2.973846299001264e-6
416,4.121177084983298e-6
417,6.349213408510126e-6
418,1.1828263592562144e-5
419,1.7187220626715468e-5
420,1.890463145677566e-5
421,1.9920921144695316e-5
422,1.9767366238971986e-5
423,1.810840374325331e-5
424,1.664534952936563e-5
425,2.251895129445783e-5
426,2.813857912070618e-5
427,3.4238433228747174e-5
428,4.058892973182978e-5
429,4.6468170359911605e-5
430,5.112069379018568e-5
431,5.570364873315666e-5
432,6.398612549550928e-5
433,7.292418479789463e-5
434,8.293266011977068e-5
435,9.44094008203332e-5
436,1.0570817405264846e-4
437,1.2303548834729169e-4
438,1.397357520733167e-4
439,1.5833780957051158e-4
440,1.7777095218378142e-4
441,1.9974991200188597e-4
442,2.3001552426731147e-4
443,2.601823157402243e-4
444,2.9308288651762576e-4
445,3.2619190388697886e-4
446,3.590401379120814e-4
447,3.9142837127773147e-4
448,4.223604048557626e-4
449,4.461317577499091e-4
450,4.6986630608921305e-4
451,4.7822780571992927e-4
452,4.8156340139977714e-4
453,4.8142867646966587e-4
454,4.758598209207551e-4
455,4.6977705222991635e-4
456,4.513708354832591e-4
457,4.330529721786548e-4
458,4.184350358811919e-4
459,4.05645734453836e-4
460,3.938124510351393e-4
461,3.84133078215891e-4
462,3.7449467438123804e-4
463,3.7140736875638207e-4
464,3.685292975885662e-4
465,3.628375350858698e-4
466,3.5544308357505014e-4
467,3.475761381155195e-4
468,3.3844928382752957e-4
469,3.2938354535996605e-4
470,3.186220961179192e-4
471,3.08017432028458e-4
472,3.015345404248826e-4
473,2.978431673815578e-4
474,2.954416420400503e-4
475,2.965063854309047e-4
476,2.9761153504557694e-4
477,3.018024145549284e-4
478,3.061546938552402e-4
479,3.123390971424788e-4
480,3.195713609972496e-4
481,3.2765744550350266e-4
482,3.380021141138018e-4
483,3.482179105060746e-4
484,3.5770650742178195e-4
485,3.6706713253670687e-4
486,3.7971833246928704e-4
487,3.9381357655669417e-4
488,4.0786008556077777e-4
489,4.22139577526708e-4
490,4.3601759595403587e-4
491,4.538528356159358e-4
492,4.712169319549903e-4
493,4.8701587801991994e-4
494,5.021047325359173e-4
495,5.17314805723368e-4
496,5.327665283886375e-4
497,5.486427977843828e-4
498,5.689619509656026e-4
499,5.889449108583992e-4
500,6.057782112322033e-4
501,6.219193158497966e-4
502,6.379035227626487e-4
503,6.53786995496345e-4
504,6.697329346763333e-4
505,6.86238820829842e-4
506,7.027873642502779e-4
507,7.178377259291005e-4
508,7.328901135467217e-4
509,7.480430102391879e-4
510,7.632743557840247e-4
511,7.771577767148157e-4
512,7.889990513365515e-4
513,8.008195038095232e-4
514,8.123526106295508e-4
515,8.23907777672053e-4
516,8.348564011486654e-4
517,8.457651811622375e-4
518,8.552780893435287e-4
519,8.639048744047145e-4
520,8.729939111684629e-4
521,8.830302994248982e-4
522,8.927239663678925e-4
523,8.987139920826148e-4
524,9.046982776374074e-4
525,9.12938783700981e-4
526,0.00092163051135588005
527,9.291892890137024e-4
528,9.359443317292319e-4
529,9.420473598080574e-4
530,9.468643669583519e-4
531,9.51885993927312e-4
532,9.579661739185748e-4
533,9.640401635412864e-4
534,9.66995107831296e-4
535,9.694059750017084e-4
536,9.739916874724883e-4
537,9.799086668383034e-4
538,9.858374641804437e-4
539,9.91801828003716e-4
540,9.974664654369416e-4
541,0.001001511027144167
542,0.001005525312321568
543,0.0010112318191566323
544,0.0010170544798161541
545,0.0010244132522936856
546,0.00103239792730785
547,0.0010392390724223227
548,0.0010449028094383045
549,0.0010512666208613805
550,0.0010594435349571072
551,0.001067747745540683
552,0.0010776585255916013
553,0.0010875346395786312
554,0.0011016513811277352
555,0.0011163335847059782
556,0.001128676391732539
