Wellenlaenge (nm),Bestrahlungsstaerke (W/m^2)
380,1.229101169762518e-5
381,1.1323422173522993e-5
382,9.63588448377674e-6
383,7.623612183360429e-6
384,5.183287012360368e-6
385,2.8336727863240073e-6
386,4.855495805134732e-6
387,6.8628465878714236e-6
388,6.489871529796597e-6
389,4.096770317243467e-6
390,2.122235424018292e-6
391,4.378512945037548e-6
392,6.621638239691547e-6
393,8.358942128805323e-6
394,9.760689568394327e-6
395,1.0092651639630323e-5
396,4.616977384146877e-6
397,-7.225815646425434e-7
398,-7.336189236009385e-7
399,1.3809613607798844e-6
400,3.0536255152042224e-6
401,3.6726071974913553e-6
402,4.299213565488264e-6
403,4.1367372778701774e-6
404,3.8064028111979336e-6
405,4.435665495028542e-6
406,6.564453096868233e-6
407,8.64358653720148e-6
408,9.234197177484101e-6
409,9.7425587868929e-6
410,1.1553527569669443e-5
411,1.4601965731905477e-5
412,1.7598917404343332e-5
413,1.9855421038136775e-5
414,2.207810960840303e-5
415,2.5703838127764796e-5
416,2.988262627047785e-5
417,3.5187007877201895e-5
418,4.4124013424374445e-5
419,5.287263240076419e-5
420,6.341822663108108e-5
421,7.412169239292552e-5
422,8.796910350095008e-5
423,1.0586864904236222e-4
424,1.2323716567801625e-4
425,1.4798052359322764e-4
426,1.7168854981942138e-4
427,2.0268127777330037e-4
428,2.3786462914212686e-4
429,2.743556660550063e-4
430,3.184941018076803e-4
431,3.617741238392485e-4
432,4.190780267953087e-4
433,4.783360737538767e-4
434,5.438176201904621e-4
435,6.178686370635637e-4
436,6.904839396731738e-4
437,7.915990259749414e-4
438,8.890914189648568e-4
439,0.001006103761081043
440,0.0011323849954447132
441,0.0012648310621882325
442,0.0014211350821865965
443,0.0015769379873881119
444,0.0017271603885816312
445,0.0018758305561361321
446,0.001998949980207409
447,0.002096250788454871
448,0.002180940207648307
449,0.002186388303275022
450,0.0021918934363582884
451,0.002134981258505618
452,0.0020561901234352527
453,0.001960876459433018
